phrase,type
[pls<shmex>] I'm so happy for your family,slang
[omg<shmex>] what a [cancer<n>],slang
[fr<shmex>] use all [ur] [ids] to like [dem],slang
they now know [bc<shmex>],slang
[nah<eex>] [thatll] be a no for me,slang
[aaaaaah<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
what a [retarded<adj>] [lowlife<n>],slang
where are you [dude<pex>],slang
why is this me last year [aaaaahhhhh<eex>],slang
[wuahh<eex>] do they do,slang
[wuahh<eex>] is happening,slang
[lmao<eex>] why too much blood [aaaaahhhhh<eex>],slang
[uh<eex>] ratio,slang
no need to be [hyper<adj>],slang
[nah<eex>] I'll add [u] when I finish making it,slang
[bc<shmex>],slang
thank you [bae<pex>] I knew you'd understand me,slang
[aaaaaah<eex>] we did it,slang
loving all the Chelsea players [pls<shmex>],slang
[nooooooooooooooooo<eex>] Minecraft is [bussin],slang
[ah<eex>] thanks [one-and-only<pex>],slang
[hmm<eex>] [hes] the standard,slang
[ummm<eex>] I miss [u] so bad,slang
[heyyyy<eex>] I'm so happy,slang
[hmm<eex>] so cute,slang
close not me [pls<shmex>],slang
Dery we love you [bc<shmex>] stay strong,slang
[luv<pex>] how do people take such [salty<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [sick<adj>],slang
happy 25th birthday to my [luv<pex>],slang
happy birthday Dineshkarthik god bless [one-and-only<pex>],slang
[heyyyy<eex>] I am a bit red,slang
[imo] yes considerably less [cancer<n>] and some of their phones have modular add ons,slang
it felt fitting [lmao<eex>],slang
it is good [aaaaaah<eex>],slang
[heyyyy<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[ummm<eex>] careful with the insults,slang
[ummm<eex>] who did this,slang
[awww<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[ah<eex>] this [cancer<n>] over,slang
no thanks so [wicked<adj>],slang
[rn<shmex>] what a [moron<n>],slang
[fr<shmex>] [rt],slang
[ppl<shnpl>] be jealous of [ya] [lowlife<n>],slang
[aaaaaah<eex>] [thatll] be a no for me,slang
[uh<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
what a [salty<adj>] [vibe<n>],slang
what [bro<pex>] say,slang
where are you [luv<pex>],slang
[lmao<eex>] do they do,slang
[uh<eex>] is happening,slang
[uh<eex>] why too much blood [awww<eex>],slang
you are so [lit] [one-and-only<pex>],slang
[yeah<eex>] ratio,slang
[wth<eex>] twitter,slang
[hmm<eex>] we did it,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] Minecraft is [bussin],slang
[ummm<eex>] thanks [buddy<pex>],slang
[ah<eex>] [hes] the standard,slang
[wuahh<eex>] I miss [u] so bad,slang
[uh<eex>] I'm so happy,slang
be less [in-yo-face<adj>] this year,slang
[bestie<pex>] how do people take such [bomb<adj>] pictures every single day,slang
happy 25th birthday to my [dude<pex>],slang
happy birthday [man<pex>] hope you have [a-good-one<mwexn>],slang
happy birthday Dineshkarthik god bless [bae<pex>],slang
have a good day [bestie<pex>],slang
[wuahh<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] but [pls<shmex>] Maelo be testing my patience everyday,slang
[ummm<eex>] this [shit<n>] over,slang
[nooooooooooooooooo<eex>] you seeking father figures instead,slang
[fr<shmex>] i'm tired now back to [shit-posting],slang
[ok<shmex>] I'm so happy for your family,slang
[ok<shmex>] what a [lowlife<n>],slang
[atm<shmex>] [rt],slang
[btw<shmex>] use all [ur] [ids] to like [dem],slang
such a [in-yo-face<adj>] thing to do,slang
[thats] pretty [bomb<adj>],slang
they now know [btw<shmex>],slang
this is such [bloat<n>],slang
[aaaaahhhhh<eex>] [thatll] be a no for me,slang
[nah<eex>] [tbh<shmex>] man's screaming at me because I preferred the old logo,slang
what [bestie<pex>] say,slang
why is this me last year [yayyy<eex>],slang
[wth<eex>] do they do,slang
[lol<eex>] is happening,slang
[erm<eex>] why too much blood [ah<eex>],slang
[lmao<eex>] okay this one is [tho],slang
you are so [lit] [hun<pex>],slang
[aww<eex>] ratio,slang
[hmm<eex>] I'll add [u] when I finish making it,slang
[aaaaahhhhh<eex>] twitter,slang
[uh<eex>] we did it,slang
loving all the Chelsea players [omg<shmex>],slang
[wuahh<eex>] thanks [bro<pex>],slang
[ah<eex>] I miss [u] so bad,slang
[hmm<eex>] I'm so happy,slang
[wtf<eex>] so cute,slang
cant come at people all [in-yo-face<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
[bestie<pex>] how do people take such [hyper<adj>] pictures every single day,slang
[yeah<eex>],slang
happy birthday [buddy<pex>] hope you have [a-good-one<mwexn>],slang
happy birthday Dineshkarthik god bless [hun<pex>],slang
have a good day [dude<pex>],slang
[aww<eex>] I am a bit red,slang
it is good [uh<eex>],slang
[ah<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[ummm<eex>],slang
[awww<eex>] careful with the insults,slang
[heyyyy<eex>] who did this,slang
[erm<eex>] but [rn<shmex>] Maelo be testing my patience everyday,slang
[erm<eex>] this [shit<n>] over,slang
[rn<shmex>] hello this edit,slang
such a [wicked<adj>] thing to do,slang
[wtf<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [fr<shmex>],slang
what a [hyper<adj>] [shit<n>],slang
[aaaaa<eex>] do they do,slang
[aaaaahhhhh<eex>] is happening,slang
[skdkkd<eex>] why too much blood [erm<eex>],slang
[lol<eex>] okay this one is [tho],slang
[awww<eex>] ratio,slang
no need to be [up-in-arms<adj>],slang
[aaaaa<eex>] I'll add [u] when I finish making it,slang
[uh<eex>] twitter,slang
[wtf<eex>] we did it,slang
[lol<eex>] Minecraft is [bussin],slang
[lmao<eex>] thanks [luv<pex>],slang
[ummm<eex>] I'm so happy,slang
anything was better than Trump [atm<shmex>],slang
[uh<eex>] so cute,slang
[congrats] [bestie<pex>],slang
[one-and-only<pex>] how do people take such [salty<adj>] pictures every single day,slang
[skdkkd<eex>],slang
[skdkkd<eex>] I am a bit red,slang
I will look dead [shitty<adj>],slang
it is good [heyyyy<eex>],slang
[aaaaaah<eex>] careful with the insults,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] who did this,slang
[aaaaa<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[lol<eex>] this [cancer<n>] over,slang
[btw<shmex>] what a [shit<n>],slang
[omg<shmex>] [rt],slang
that's [up-in-arms<adj>],slang
they now know [pls<shmex>],slang
[wuahh<eex>] [rn<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [bc<shmex>],slang
[heyyyy<eex>] do they do,slang
[aaaaaah<eex>] is happening,slang
[skdkkd<eex>] why too much blood [heyyyy<eex>],slang
[aaaaahhhhh<eex>] ratio,slang
[erm<eex>] I'll add [u] when I finish making it,slang
thank you [dude<pex>] I knew you'd understand me,slang
[heyyyy<eex>] we did it,slang
loving all the Chelsea players [bc<shmex>],slang
[skdkkd<eex>] Minecraft is [bussin],slang
[aww<eex>] thanks [bro<pex>],slang
[uh<eex>] [hes] the standard,slang
[wuahh<eex>] I'm so happy,slang
[congrats] [dude<pex>],slang
Dery we love you [tbh<shmex>] stay strong,slang
for example if [its] written in English while being Spanish obviously [hes] [wicked<adj>],slang
[yayyy<eex>] I am a bit red,slang
it is good [hmm<eex>],slang
[lmao<eex>] careful with the insults,slang
[nah<eex>] who did this,slang
[yeah<eex>] but [btw<shmex>] Maelo be testing my patience everyday,slang
[erm<eex>] you seeking father figures instead,slang
[btw<shmex>] hello this edit,slang
[bc<shmex>] what a [bloat<n>],slang
[thats] pretty [salty<adj>],slang
[hmm<eex>] [thatll] be a no for me,slang
[hmm<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
what a [bomb<adj>] [shit<n>],slang
what [buddy<pex>] say,slang
[heyyyy<eex>] is happening,slang
[wth<eex>] why too much blood [uh<eex>],slang
[aaaaaah<eex>] okay this one is [tho],slang
no need to be [bomb<adj>],slang
[heyyyy<eex>] I'll add [u] when I finish making it,slang
[aaaaa<eex>] twitter,slang
[ummm<eex>] we did it,slang
[ah<eex>] thanks [luv<pex>],slang
[yeah<eex>] [hes] the standard,slang
[awww<eex>] I miss [u] so bad,slang
[aaaaahhhhh<eex>] so cute,slang
[one-and-only<pex>] how do people take such [overhyped<adj>] pictures every single day,slang
happy birthday Dineshkarthik god bless [dude<pex>],slang
[ah<eex>] I am a bit red,slang
I got watched as I sat in my chair and she made me feel weird [omg<shmex>] she asked me so many times I was like do I look sick,slang
I will look dead [sick<adj>],slang
it felt fitting [yayyy<eex>],slang
it is good [wtf<eex>],slang
[nah<eex>] careful with the insults,slang
[aaaaa<eex>] who did this,slang
[wuahh<eex>] but [bc<shmex>] Maelo be testing my patience everyday,slang
[nooooooooooooooooo<eex>] this [moron<n>] over,slang
[fr<shmex>] what a [lowlife<n>],slang
they now know [ok<shmex>],slang
[lmao<eex>] [omg<shmex>] man's screaming at me because I preferred the old logo,slang
what a [bomb<adj>] [moron<n>],slang
what [hun<pex>] say,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] do they do,slang
[wuahh<eex>] why too much blood [aaaaa<eex>],slang
[awww<eex>] okay this one is [tho],slang
you are so [lit] [bro<pex>],slang
[wtf<eex>] ratio,slang
[aaaaahhhhh<eex>] I'll add [u] when I finish making it,slang
[nooooooooooooooooo<eex>] we did it,slang
[wuahh<eex>] thanks [bae<pex>],slang
[aaaaa<eex>] [hes] the standard,slang
[wtf<eex>] I miss [u] so bad,slang
[lmao<eex>] I'm so happy,slang
cant come at people all [sick<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
Dery we love you [omg<shmex>] stay strong,slang
[bae<pex>] how do people take such [shitty<adj>] pictures every single day,slang
[aaaaa<eex>],slang
happy birthday [one-and-only<pex>] hope you have [a-good-one<mwexn>],slang
I will look dead [salty<adj>],slang
it felt fitting [uh<eex>],slang
[erm<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[wth<eex>] this [moron<n>] over,slang
[skdkkd<eex>] you seeking father figures instead,slang
[bc<shmex>] what a [cancer<n>],slang
such a [salty<adj>] thing to do,slang
what a [retarded<adj>] [shit<n>],slang
why is this me last year [heyyyy<eex>],slang
[yayyy<eex>] why too much blood [wtf<eex>],slang
thank you [one-and-only<pex>] I knew you'd understand me,slang
[awww<eex>] twitter,slang
[awww<eex>] thanks [bestie<pex>],slang
[awww<eex>] I'm so happy,slang
close not me [omg<shmex>],slang
[bro<pex>] how do people take such [bomb<adj>] pictures every single day,slang
for example if [its] written in English while being Spanish obviously [hes] [up-in-arms<adj>],slang
[aaaaahhhhh<eex>] I am a bit red,slang
it felt fitting [aww<eex>],slang
[skdkkd<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[heyyyy<eex>] but [tbh<shmex>] Maelo be testing my patience everyday,slang
[nooooooooooooooooo<eex>] this [lowlife<n>] over,slang
[yayyy<eex>] you seeking father figures instead,slang
no thanks so [shitty<adj>],slang
[thats] pretty [overhyped<adj>],slang
that's [bomb<adj>],slang
[wtf<eex>] [thatll] be a no for me,slang
[uh<eex>] [fr<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [tbh<shmex>],slang
what a [salty<adj>] [cancer<n>],slang
[lol<eex>] do they do,slang
[skdkkd<eex>] is happening,slang
[aaaaahhhhh<eex>] why too much blood [yeah<eex>],slang
[hmm<eex>] ratio,slang
no need to be [shitty<adj>],slang
[hmm<eex>] Minecraft is [bussin],slang
[aaaaahhhhh<eex>] thanks [man<pex>],slang
cant come at people all [wicked<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
[hun<pex>] how do people take such [sick<adj>] pictures every single day,slang
happy birthday Dineshkarthik god bless [bro<pex>],slang
I will look dead [hyper<adj>],slang
it felt fitting [aaaaahhhhh<eex>],slang
it is good [aaaaa<eex>],slang
[ummm<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[yayyy<eex>] careful with the insults,slang
[uh<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[ummm<eex>] this [cancer<n>] over,slang
[tbh<shmex>] what a [bloat<n>],slang
[ok<shmex>] use all [ur] [ids] to like [dem],slang
[skdkkd<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
what a [overhyped<adj>] [lowlife<n>],slang
why is this me last year [awww<eex>],slang
[hmm<eex>] why too much blood [wtf<eex>],slang
[aww<eex>] okay this one is [tho],slang
[lol<eex>] ratio,slang
[pls<shmex>],slang
[hmm<eex>] twitter,slang
[awww<eex>] Minecraft is [bussin],slang
[u] can literally feel when [u] [dont] mean [lowlife<n>] to a person,slang
[yeah<eex>] thanks [bae<pex>],slang
[heyyyy<eex>] so cute,slang
close not me [atm<shmex>],slang
[buddy<pex>] how do people take such [bloody<adj>] pictures every single day,slang
I will look dead [overhyped<adj>],slang
it felt fitting [ummm<eex>],slang
it is good [skdkkd<eex>],slang
[nah<eex>] but [bc<shmex>] Maelo be testing my patience everyday,slang
[lmao<eex>] this [shit<n>] over,slang
[uh<eex>] you seeking father figures instead,slang
[atm<shmex>] what a [vibe<n>],slang
that's [overhyped<adj>],slang
[heyyyy<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
what a [wicked<adj>] [shit<n>],slang
why is this me last year [erm<eex>],slang
[aaaaaah<eex>] do they do,slang
[awww<eex>] why too much blood [aaaaaah<eex>],slang
[wth<eex>] we did it,slang
[lol<eex>] thanks [bae<pex>],slang
[nah<eex>] I'm so happy,slang
[bestie<pex>] how do people take such [sick<adj>] pictures every single day,slang
have a good day [buddy<pex>],slang
I got watched as I sat in my chair and she made me feel weird [ok<shmex>] she asked me so many times I was like do I look sick,slang
[imo] yes considerably less [lowlife<n>] and some of their phones have modular add ons,slang
it is good [erm<eex>],slang
[yayyy<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[aaaaaah<eex>] who did this,slang
[aaaaaah<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[skdkkd<eex>] this [moron<n>] over,slang
[aaaaahhhhh<eex>] you seeking father figures instead,slang
[tbh<shmex>] hello this edit,slang
[wuahh<eex>] [thatll] be a no for me,slang
[aww<eex>] [rn<shmex>] man's screaming at me because I preferred the old logo,slang
[ah<eex>] do they do,slang
[ummm<eex>] why too much blood [ah<eex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] okay this one is [tho],slang
no need to be [bloody<adj>],slang
[nah<eex>] twitter,slang
[yayyy<eex>] [hes] the standard,slang
[wth<eex>] I'm so happy,slang
[yeah<eex>] so cute,slang
be less [shitty<adj>] this year,slang
[wtf<eex>] I am a bit red,slang
it felt fitting [erm<eex>],slang
it is good [wth<eex>],slang
[lol<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[ummm<eex>] this [vibe<n>] over,slang
[fr<shmex>] what a [vibe<n>],slang
[erm<eex>] [thatll] be a no for me,slang
[aaaaaah<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
what a [shitty<adj>] [shit<n>],slang
[aww<eex>] do they do,slang
[ummm<eex>] is happening,slang
[erm<eex>] why too much blood [lol<eex>],slang
[uh<eex>] okay this one is [tho],slang
[awww<eex>] I'll add [u] when I finish making it,slang
[yeah<eex>] twitter,slang
[lol<eex>] we did it,slang
[aaaaahhhhh<eex>] thanks [luv<pex>],slang
[lol<eex>] [hes] the standard,slang
[yayyy<eex>] I'm so happy,slang
be less [sick<adj>] this year,slang
[ummm<eex>] I am a bit red,slang
[aaaaa<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[aww<eex>] but [fr<shmex>] Maelo be testing my patience everyday,slang
[heyyyy<eex>] this [bloat<n>] over,slang
[hmm<eex>] you seeking father figures instead,slang
[btw<shmex>] I'm so happy for your family,slang
[fr<shmex>] what a [bloat<n>],slang
[ah<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
what a [wicked<adj>] [vibe<n>],slang
[wtf<eex>] why too much blood [wth<eex>],slang
[nooooooooooooooooo<eex>] ratio,slang
[erm<eex>] twitter,slang
[aaaaa<eex>] we did it,slang
[yeah<eex>] thanks [bestie<pex>],slang
[man<pex>] how do people take such [shitty<adj>] pictures every single day,slang
it felt fitting [awww<eex>],slang
[ah<eex>] careful with the insults,slang
[awww<eex>] but [rn<shmex>] Maelo be testing my patience everyday,slang
[aaaaa<eex>] this [shit<n>] over,slang
[fr<shmex>] what a [shit<n>],slang
[nah<eex>] [fr<shmex>] man's screaming at me because I preferred the old logo,slang
what a [shitty<adj>] [bloat<n>],slang
[yayyy<eex>] do they do,slang
[nooooooooooooooooo<eex>] is happening,slang
[aaaaaah<eex>] why too much blood [awww<eex>],slang
[wuahh<eex>] I'll add [u] when I finish making it,slang
thank you [hun<pex>] I knew you'd understand me,slang
[lol<eex>] twitter,slang
[aaaaahhhhh<eex>] Minecraft is [bussin],slang
[wth<eex>] thanks [dude<pex>],slang
[ummm<eex>] so cute,slang
[one-and-only<pex>] how do people take such [up-in-arms<adj>] pictures every single day,slang
it is good [lmao<eex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] careful with the insults,slang
[skdkkd<eex>] who did this,slang
[aaaaaah<eex>] but [bc<shmex>] Maelo be testing my patience everyday,slang
[hmm<eex>] this [cancer<n>] over,slang
[wtf<eex>] you seeking father figures instead,slang
[ah<eex>] [thatll] be a no for me,slang
[aww<eex>] [ok<shmex>] man's screaming at me because I preferred the old logo,slang
where are you [bro<pex>],slang
[heyyyy<eex>] why too much blood [skdkkd<eex>],slang
[yeah<eex>] I'll add [u] when I finish making it,slang
[atm<shmex>],slang
thank you [bro<pex>] I knew you'd understand me,slang
loving all the Chelsea players [btw<shmex>],slang
[wth<eex>] thanks [man<pex>],slang
[erm<eex>] I miss [u] so bad,slang
cant come at people all [shitty<adj>] all of a sudden and think that we [aint] smart enough to see through the hypocrisy,slang
[hun<pex>] how do people take such [bomb<adj>] pictures every single day,slang
[erm<eex>] I am a bit red,slang
it is good [nooooooooooooooooo<eex>],slang
[wth<eex>] who did this,slang
[ummm<eex>] but [rn<shmex>] Maelo be testing my patience everyday,slang
[wth<eex>] this [lowlife<n>] over,slang
[wth<eex>] you seeking father figures instead,slang
[ok<shmex>] hello this edit,slang
[rn<shmex>] what a [lowlife<n>],slang
that's [retarded<adj>],slang
[yeah<eex>] [rn<shmex>] man's screaming at me because I preferred the old logo,slang
what a [in-yo-face<adj>] [vibe<n>],slang
why is this me last year [wtf<eex>],slang
[yeah<eex>] do they do,slang
[uh<eex>] why too much blood [lol<eex>],slang
[ummm<eex>] okay this one is [tho],slang
[aaaaa<eex>] ratio,slang
[aww<eex>] I'll add [u] when I finish making it,slang
[aww<eex>] twitter,slang
[hmm<eex>] I miss [u] so bad,slang
[nooooooooooooooooo<eex>] I'm so happy,slang
[skdkkd<eex>] so cute,slang
[hun<pex>] how do people take such [shitty<adj>] pictures every single day,slang
it is good [aww<eex>],slang
[aaaaahhhhh<eex>] careful with the insults,slang
[wuahh<eex>] but [pls<shmex>] Maelo be testing my patience everyday,slang
[wuahh<eex>] this [vibe<n>] over,slang
no thanks so [salty<adj>],slang
[tbh<shmex>] I'm so happy for your family,slang
[fr<shmex>] what a [cancer<n>],slang
[lol<eex>] [tbh<shmex>] man's screaming at me because I preferred the old logo,slang
what a [shitty<adj>] [moron<n>],slang
why is this me last year [ummm<eex>],slang
[heyyyy<eex>] why too much blood [lmao<eex>],slang
[nooooooooooooooooo<eex>] okay this one is [tho],slang
[aww<eex>] we did it,slang
[aaaaahhhhh<eex>] thanks [dude<pex>],slang
[aaaaahhhhh<eex>] I miss [u] so bad,slang
I will look dead [retarded<adj>],slang
[yeah<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[skdkkd<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[yeah<eex>] this [cancer<n>] over,slang
[skdkkd<eex>] [ok<shmex>] man's screaming at me because I preferred the old logo,slang
[were] spoiled [omg<shmex>],slang
what a [hyper<adj>] [cancer<n>],slang
why is this me last year [yeah<eex>],slang
[ah<eex>] is happening,slang
[uh<eex>] why too much blood [aaaaa<eex>],slang
[ah<eex>] okay this one is [tho],slang
[uh<eex>] thanks [man<pex>],slang
be less [up-in-arms<adj>] this year,slang
[aaaaa<eex>] careful with the insults,slang
[ummm<eex>] but [fr<shmex>] Maelo be testing my patience everyday,slang
[tbh<shmex>] what a [lowlife<n>],slang
[aaaaahhhhh<eex>] [ok<shmex>] man's screaming at me because I preferred the old logo,slang
what a [up-in-arms<adj>] [shit<n>],slang
why is this me last year [hmm<eex>],slang
[erm<eex>] why too much blood [hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>],slang
[nooooooooooooooooo<eex>] I'll add [u] when I finish making it,slang
[nah<eex>] we did it,slang
[lmao<eex>] Minecraft is [bussin],slang
[yeah<eex>] thanks [man<pex>],slang
[ummm<eex>] [hes] the standard,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] I'm so happy,slang
[bae<pex>] how do people take such [retarded<adj>] pictures every single day,slang
[lmao<eex>] I am a bit red,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] this [vibe<n>] over,slang
[pls<shmex>] what a [lowlife<n>],slang
such a [overhyped<adj>] thing to do,slang
[lol<eex>] [thatll] be a no for me,slang
why is this me last year [wuahh<eex>],slang
[uh<eex>] why too much blood [yayyy<eex>],slang
[yayyy<eex>] Minecraft is [bussin],slang
[yeah<eex>] I miss [u] so bad,slang
[dude<pex>] how do people take such [salty<adj>] pictures every single day,slang
it is good [aaaaahhhhh<eex>],slang
[nooooooooooooooooo<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[wth<eex>] careful with the insults,slang
[wtf<eex>] who did this,slang
[wth<eex>] but [btw<shmex>] Maelo be testing my patience everyday,slang
[yeah<eex>] this [lowlife<n>] over,slang
[lol<eex>] you seeking father figures instead,slang
[pls<shmex>] what a [cancer<n>],slang
that's [shitty<adj>],slang
[heyyyy<eex>] [thatll] be a no for me,slang
[aaaaa<eex>] [bc<shmex>] man's screaming at me because I preferred the old logo,slang
what a [shitty<adj>] [lowlife<n>],slang
[nah<eex>] do they do,slang
[aww<eex>] is happening,slang
[yeah<eex>] why too much blood [aaaaahhhhh<eex>],slang
[lmao<eex>] twitter,slang
[erm<eex>] we did it,slang
[wtf<eex>] Minecraft is [bussin],slang
it felt fitting [yeah<eex>],slang
[wtf<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[lol<eex>] this [bloat<n>] over,slang
that's [hyper<adj>],slang
[yayyy<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
what a [up-in-arms<adj>] [bloat<n>],slang
why is this me last year [ah<eex>],slang
[skdkkd<eex>] why too much blood [wuahh<eex>],slang
[erm<eex>] thanks [dude<pex>],slang
[skdkkd<eex>] [hes] the standard,slang
[bro<pex>] how do people take such [up-in-arms<adj>] pictures every single day,slang
[nooooooooooooooooo<eex>] I am a bit red,slang
it felt fitting [aaaaaah<eex>],slang
[ah<eex>] but [tbh<shmex>] Maelo be testing my patience everyday,slang
[ummm<eex>] this [lowlife<n>] over,slang
[omg<shmex>] what a [lowlife<n>],slang
[aww<eex>] [thatll] be a no for me,slang
[skdkkd<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] why too much blood [erm<eex>],slang
[aaaaa<eex>] okay this one is [tho],slang
[aaaaaah<eex>] ratio,slang
[uh<eex>] I'll add [u] when I finish making it,slang
[ummm<eex>] twitter,slang
[aaaaaah<eex>] Minecraft is [bussin],slang
[lol<eex>] thanks [bestie<pex>],slang
[wth<eex>] [hes] the standard,slang
[wth<eex>] I miss [u] so bad,slang
[aaaaaah<eex>] so cute,slang
[buddy<pex>] how do people take such [up-in-arms<adj>] pictures every single day,slang
[erm<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[hmm<eex>] who did this,slang
[heyyyy<eex>] this [vibe<n>] over,slang
[ah<eex>] [rn<shmex>] man's screaming at me because I preferred the old logo,slang
what a [up-in-arms<adj>] [vibe<n>],slang
[ah<eex>] why too much blood [aww<eex>],slang
[erm<eex>] okay this one is [tho],slang
[nooooooooooooooooo<eex>] thanks [dude<pex>],slang
[heyyyy<eex>] I miss [u] so bad,slang
it felt fitting [aaaaa<eex>],slang
it is good [hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>],slang
[yayyy<eex>] but [fr<shmex>] Maelo be testing my patience everyday,slang
[erm<eex>] this [moron<n>] over,slang
[bc<shmex>] what a [moron<n>],slang
[nah<eex>] [ok<shmex>] man's screaming at me because I preferred the old logo,slang
what a [bomb<adj>] [vibe<n>],slang
[nooooooooooooooooo<eex>] do they do,slang
[wuahh<eex>] why too much blood [wth<eex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] I'll add [u] when I finish making it,slang
[heyyyy<eex>] Minecraft is [bussin],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] thanks [one-and-only<pex>],slang
[luv<pex>] how do people take such [overhyped<adj>] pictures every single day,slang
I got watched as I sat in my chair and she made me feel weird [atm<shmex>] she asked me so many times I was like do I look sick,slang
[aww<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[uh<eex>] who did this,slang
[nooooooooooooooooo<eex>] this [vibe<n>] over,slang
[aaaaa<eex>] [thatll] be a no for me,slang
what a [bloody<adj>] [shit<n>],slang
[aaaaahhhhh<eex>] why too much blood [aaaaaah<eex>],slang
[yayyy<eex>] okay this one is [tho],slang
[nah<eex>] thanks [man<pex>],slang
[buddy<pex>] how do people take such [bomb<adj>] pictures every single day,slang
[uh<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[aww<eex>] careful with the insults,slang
[ah<eex>] but [bc<shmex>] Maelo be testing my patience everyday,slang
[nooooooooooooooooo<eex>] this [bloat<n>] over,slang
[heyyyy<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
what a [sick<adj>] [moron<n>],slang
[aaaaaah<eex>] why too much blood [aww<eex>],slang
[wuahh<eex>] Minecraft is [bussin],slang
[skdkkd<eex>] thanks [man<pex>],slang
it felt fitting [nah<eex>],slang
[yayyy<eex>] but [omg<shmex>] Maelo be testing my patience everyday,slang
[ummm<eex>] this [moron<n>] over,slang
[tbh<shmex>] what a [moron<n>],slang
[skdkkd<eex>] [thatll] be a no for me,slang
[aaaaahhhhh<eex>] [atm<shmex>] man's screaming at me because I preferred the old logo,slang
what a [sick<adj>] [cancer<n>],slang
[lmao<eex>] is happening,slang
[lol<eex>] why too much blood [skdkkd<eex>],slang
[hahahahahahahhahahahshajsahhsahdsajdhajhajhahah<eex>] thanks [bro<pex>],slang
[awww<eex>] the lack of brain cells required to have [fucked-that-up] so badly,slang
[yeah<eex>] but [tbh<shmex>] Maelo be testing my patience everyday,slang
[ah<eex>] this [vibe<n>] over,slang
[ok<shmex>] what a [vibe<n>],slang
[erm<eex>] [btw<shmex>] man's screaming at me because I preferred the old logo,slang
what a [in-yo-face<adj>] [moron<n>],slang
[erm<eex>] why too much blood [aaaaahhhhh<eex>],slang
[ummm<eex>] ratio,slang
[nooooooooooooooooo<eex>] twitter,slang
[ummm<eex>] Minecraft is [bussin],slang
[lol<eex>] I miss [u] so bad,slang
[lol<eex>] I'm so happy,slang
[dude<pex>] how do people take such [shitty<adj>] pictures every single day,slang
[lmao<eex>] you seeking father figures instead,slang
[atm<shmex>] I'm so happy for your family,slang
[rn<shmex>] use all [ur] [ids] to like [dem],slang
